danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artists
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4,As It Was,Harry Styles
0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,audio_features,1rDQ4oMwGJI7B4tovsBOxc,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/tracks/1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/audio-analysis/1rDQ4oMwGJI7B4tovsBOxc,173948,4,First Class,Jack Harlow
0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4,Heat Waves,Glass Animals
0.922,0.451,9,-6.912,1,0.0612,0.324,0.0105,0.0496,0.649,126.987,audio_features,36O90PhZmnMPk4FHDe2bPz,spotify:track:36O90PhZmnMPk4FHDe2bPz,https://api.spotify.com/v1/tracks/36O90PhZmnMPk4FHDe2bPz,https://api.spotify.com/v1/audio-analysis/36O90PhZmnMPk4FHDe2bPz,190846,4,Take Me Home,MOMO Soundz
0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,audio_features,6JIC3hbC28JZKZ8AlAqX8h,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,https://api.spotify.com/v1/tracks/6JIC3hbC28JZKZ8AlAqX8h,https://api.spotify.com/v1/audio-analysis/6JIC3hbC28JZKZ8AlAqX8h,202735,4,Cold Heart - PNAU Remix,Elton John
0.821,0.682,9,-6.025,0,0.0443,0.232,1.68e-06,0.12,0.354,125.991,audio_features,5nJ1cxOSRfJtOx3phZaFeX,spotify:track:5nJ1cxOSRfJtOx3phZaFeX,https://api.spotify.com/v1/tracks/5nJ1cxOSRfJtOx3phZaFeX,https://api.spotify.com/v1/audio-analysis/5nJ1cxOSRfJtOx3phZaFeX,162857,4,Sex Bomb,Ascence
0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5PjdY0CKGZdEuoNab3yDmX,spotify:track:5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX,141806,4,STAY (with Justin Bieber),The Kid LAROI
0.824,0.646,10,-9.389,0,0.254,0.103,0.0,0.308,0.634,119.935,audio_features,6nIqq9u0IHBnWD6u1Rp6FK,spotify:track:6nIqq9u0IHBnWD6u1Rp6FK,https://api.spotify.com/v1/tracks/6nIqq9u0IHBnWD6u1Rp6FK,https://api.spotify.com/v1/audio-analysis/6nIqq9u0IHBnWD6u1Rp6FK,164302,4,Under The Sun,James Stikå
0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602,4,abcdefu,GAYLE
0.776,0.319,8,-7.496,1,0.031,0.791,0.0,0.159,0.501,98.016,audio_features,4XBkxG1jC5RBQJt65gma8v,spotify:track:4XBkxG1jC5RBQJt65gma8v,https://api.spotify.com/v1/tracks/4XBkxG1jC5RBQJt65gma8v,https://api.spotify.com/v1/audio-analysis/4XBkxG1jC5RBQJt65gma8v,155510,4,More Than You Know - Acoustic Covers of Popular Songs,Filip Nordin
